Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1975,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1976,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,0,14,0
1977,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,2,12,0
1978,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,5,11,0
1980,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,5,10,1
1983,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,2,14,0
1984,Tampa Bay Buccaneers,John McKay,White,Failed to make playoffs,6,10,0
1985,Tampa Bay Buccaneers,Leeman Bennett,White,Failed to make playoffs,2,14,0
1986,Tampa Bay Buccaneers,Leeman Bennett,White,Failed to make playoffs,2,14,0
1987,Tampa Bay Buccaneers,Ray Perkins,White,Failed to make playoffs,4,11,0
1988,Tampa Bay Buccaneers,Ray Perkins,White,Failed to make playoffs,5,11,0
1989,Tampa Bay Buccaneers,Ray Perkins,White,Failed to make playoffs,5,11,0
1990,Tampa Bay Buccaneers,Richard Williamson,White,Failed to make playoffs,6,10,0
1991,Tampa Bay Buccaneers,Richard Williamson,White,Failed to make playoffs,3,13,0
1992,Tampa Bay Buccaneers,Sam Wyche,White,Failed to make playoffs,5,11,0
1993,Tampa Bay Buccaneers,Sam Wyche,White,Failed to make playoffs,5,11,0
1994,Tampa Bay Buccaneers,Sam Wyche,White,Failed to make playoffs,6,10,0
1995,Tampa Bay Buccaneers,Sam Wyche,White,Failed to make playoffs,7,9,0
1996,Tampa Bay Buccaneers,Tony Dungy,Non-White,Failed to make playoffs,6,10,0
1998,Tampa Bay Buccaneers,Tony Dungy,Non-White,Failed to make playoffs,8,8,0
2003,Tampa Bay Buccaneers,Jon Gruden,White,Failed to make playoffs,7,9,0
2004,Tampa Bay Buccaneers,Jon Gruden,White,Failed to make playoffs,5,11,0
2006,Tampa Bay Buccaneers,Jon Gruden,White,Failed to make playoffs,4,12,0
2008,Tampa Bay Buccaneers,Jon Gruden,White,Failed to make playoffs,9,7,0
2009,Tampa Bay Buccaneers,Raheem Morris,Non-White,Failed to make playoffs,3,13,0
2010,Tampa Bay Buccaneers,Raheem Morris,Non-White,Failed to make playoffs,10,6,0
2011,Tampa Bay Buccaneers,Raheem Morris,Non-White,Failed to make playoffs,4,12,0
2012,Tampa Bay Buccaneers,Greg Schiano,White,Failed to make playoffs,7,9,0
2013,Tampa Bay Buccaneers,Greg Schiano,White,Failed to make playoffs,4,12,0
2014,Tampa Bay Buccaneers,Lovie Smith,Non-White,Failed to make playoffs,2,14,0
2015,Tampa Bay Buccaneers,Lovie Smith,Non-White,Failed to make playoffs,6,10,0
2016,Tampa Bay Buccaneers,Dirk Koetter,White,Failed to make playoffs,9,7,0
2017,Tampa Bay Buccaneers,Dirk Koetter,White,Failed to make playoffs,5,11,0
2018,Tampa Bay Buccaneers,Dirk Koetter,White,Failed to make playoffs,5,11,0
2019,Tampa Bay Buccaneers,Bruce Arians,White,Failed to make playoffs,7,9,0
1966,Washington Redskins,Otto Graham,White,Failed to make playoffs,7,7,0
1967,Washington Redskins,Otto Graham,White,Failed to make playoffs,5,6,3
1968,Washington Redskins,Otto Graham,White,Failed to make playoffs,5,9,0
1969,Washington Redskins,Vince Lombardi,White,Failed to make playoffs,7,5,2
1970,Washington Redskins,Bill Austin,White,Failed to make playoffs,6,8,0
1975,Washington Redskins,George Allen,White,Failed to make playoffs,8,6,0
1977,Washington Redskins,George Allen,White,Failed to make playoffs,9,5,0
1978,Washington Redskins,Jack Pardee,White,Failed to make playoffs,8,8,0
1979,Washington Redskins,Jack Pardee,White,Failed to make playoffs,10,6,0
1980,Washington Redskins,Jack Pardee,White,Failed to make playoffs,6,10,0
1981,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,8,8,0
1985,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,10,6,0
1988,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,7,9,0
1989,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,10,6,0
1993,Washington Redskins,Richie Petitbon,White,Failed to make playoffs,4,12,0
1994,Washington Redskins,Norv Turner,White,Failed to make playoffs,3,13,0
1995,Washington Redskins,Norv Turner,White,Failed to make playoffs,6,10,0
1996,Washington Redskins,Norv Turner,White,Failed to make playoffs,9,7,0
1997,Washington Redskins,Norv Turner,White,Failed to make playoffs,8,7,1
1998,Washington Redskins,Norv Turner,White,Failed to make playoffs,6,10,0
2000,Washington Redskins,Norv Turner/Terry Robiskie,White,Failed to make playoffs,8,8,0
2001,Washington Redskins,Marty Schottenheimer,White,Failed to make playoffs,8,8,0
2002,Washington Redskins,Steve Spurrier,White,Failed to make playoffs,7,9,0
2003,Washington Redskins,Steve Spurrier,White,Failed to make playoffs,5,11,0
2004,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,6,10,0
2006,Washington Redskins,Joe Gibbs,White,Failed to make playoffs,5,11,0
2008,Washington Redskins,Jim Zorn,White,Failed to make playoffs,8,8,0
2009,Washington Redskins,Jim Zorn,White,Failed to make playoffs,4,12,0
2010,Washington Redskins,Mike Shanahan,White,Failed to make playoffs,6,10,0
2011,Washington Redskins,Mike Shanahan,White,Failed to make playoffs,5,11,0
2013,Washington Redskins,Mike Shanahan,White,Failed to make playoffs,3,13,0
2014,Washington Redskins,Jay Gruden,White,Failed to make playoffs,4,12,0
2016,Washington Redskins,Jay Gruden,White,Failed to make playoffs,8,7,1
2017,Washington Redskins,Jay Gruden,White,Failed to make playoffs,7,9,0
2018,Washington Redskins,Jay Gruden,White,Failed to make playoffs,7,9,0
2019,Washington Redskins,Jay Gruden,White,Failed to make playoffs,3,13,0
1966,Buffalo Bills,Joe Collier,White,Lost Championship,9,4,1
1968,Cleveland Browns,Blanton Collier,White,Lost Championship,10,4,0
1969,Cleveland Browns,Blanton Collier,White,Lost Championship,10,3,1
1966,Dallas Cowboys,Tom Landry,White,Lost Championship,10,3,1
1967,Dallas Cowboys,Tom Landry,White,Lost Championship,9,5,0
1968,Oakland Raiders,John Rauch,White,Lost Championship,12,2,0
1969,Oakland Raiders,John Madden,White,Lost Championship,12,1,1
2004,Atlanta Falcons,Jim Mora,White,Lost Conference Championship,11,5,0
2012,Atlanta Falcons,Mike Smith,White,Lost Conference Championship,13,3,0
1988,Buffalo Bills,Marv Levy,White,Lost Conference Championship,12,4,0
1996,Carolina Panthers,Dom Capers,White,Lost Conference Championship,12,4,0
2005,Carolina Panthers,John Fox,White,Lost Conference Championship,11,5,0
1984,Chicago Bears,Mike Ditka,White,Lost Conference Championship,10,6,0
1988,Chicago Bears,Mike Ditka,White,Lost Conference Championship,12,4,0
2010,Chicago Bears,Lovie Smith,Non-White,Lost Conference Championship,11,5,0
1986,Cleveland Browns,Marty Schottenheimer,White,Lost Conference Championship,12,4,0
1987,Cleveland Browns,Marty Schottenheimer,White,Lost Conference Championship,10,5,0
1989,Cleveland Browns,Bud Carson,White,Lost Conference Championship,9,6,1
1995,Indianapolis Colts,Ted Marchibroda,White,Lost Conference Championship,9,7,0
2003,Indianapolis Colts,Tony Dungy,Non-White,Lost Conference Championship,12,4,0
2014,Indianapolis Colts,Chuck Pagano,White,Lost Conference Championship,11,5,0
2015,Arizona Cardinals,Bruce Arians,White,Lost Conference Championship,13,3,0
1972,Dallas Cowboys,Tom Landry,White,Lost Conference Championship,10,4,0
1973,Dallas Cowboys,Tom Landry,White,Lost Conference Championship,10,4,0
1980,Dallas Cowboys,Tom Landry,White,Lost Conference Championship,12,4,0
1981,Dallas Cowboys,Tom Landry,White,Lost Conference Championship,12,4,0
1982,Dallas Cowboys,Tom Landry,White,Lost Conference Championship,6,3,0
1994,Dallas Cowboys,Barry Switzer,White,Lost Conference Championship,12,4,0
1991,Denver Broncos,Dan Reeves,White,Lost Conference Championship,12,4,0
2005,Denver Broncos,Mike Shanahan,White,Lost Conference Championship,13,3,0
1991,Detroit Lions,Wayne Fontes,White,Lost Conference Championship,12,4,0
1995,Green Bay Packers,Mike Holmgren,White,Lost Conference Championship,11,5,0
2007,Green Bay Packers,Mike McCarthy,White,Lost Conference Championship,13,3,0
2014,Green Bay Packers,Mike McCarthy,White,Lost Conference Championship,12,4,0
2016,Green Bay Packers,Mike McCarthy,White,Lost Conference Championship,10,6,0
1996,Jacksonville Jaguars,Tom Coughlin,White,Lost Conference Championship,9,7,0
1999,Jacksonville Jaguars,Tom Coughlin,White,Lost Conference Championship,14,2,0
2017,Jacksonville Jaguars,Doug Marrone,White,Lost Conference Championship,10,6,0
1993,Kansas City Chiefs,Marty Schottenheimer,White,Lost Conference Championship,11,5,0
2018,Kansas City Chiefs,Andy Reid,White,Lost Conference Championship,12,4,0
1985,Miami Dolphins,Don Shula,White,Lost Conference Championship,12,4,0
1992,Miami Dolphins,Don Shula,White,Lost Conference Championship,11,5,0
1977,Minnesota Vikings,Bud Grant,White,Lost Conference Championship,9,5,0
1987,Minnesota Vikings,Jerry Burns,White,Lost Conference Championship,8,7,0
1998,Minnesota Vikings,Dennis Green,Non-White,Lost Conference Championship,15,1,0
2000,Minnesota Vikings,Dennis Green,Non-White,Lost Conference Championship,11,5,0
2009,Minnesota Vikings,Brad Childress,White,Lost Conference Championship,12,4,0
2017,Minnesota Vikings,Mike Zimmer,White,Lost Conference Championship,13,3,0
2006,New Orleans Saints,Sean Payton,White,Lost Conference Championship,10,6,0
2018,New Orleans Saints,Sean Payton,White,Lost Conference Championship,13,3,0
2006,New England Patriots,Bill Belichick,White,Lost Conference Championship,12,4,0
2012,New England Patriots,Bill Belichick,White,Lost Conference Championship,12,4,0
2013,New England Patriots,Bill Belichick,White,Lost Conference Championship,12,4,0
2015,New England Patriots,Bill Belichick,White,Lost Conference Championship,12,4,0
1982,New York Jets,Walt Michaels,White,Lost Conference Championship,6,3,0
1998,New York Jets,Bill Parcells,White,Lost Conference Championship,12,4,0
2009,New York Jets,Rex Ryan,White,Lost Conference Championship,9,7,0
2010,New York Jets,Rex Ryan,White,Lost Conference Championship,11,5,0
1978,Tennessee Titans,Bum Phillips,White,Lost Conference Championship,10,6,0
1979,Tennessee Titans,Bum Phillips,White,Lost Conference Championship,11,5,0
2002,Tennessee Titans,Jeff Fisher,White,Lost Conference Championship,11,5,0
2001,Philadelphia Eagles,Andy Reid,White,Lost Conference Championship,11,5,0
2002,Philadelphia Eagles,Andy Reid,White,Lost Conference Championship,12,4,0
2003,Philadelphia Eagles,Andy Reid,White,Lost Conference Championship,12,4,0
2008,Philadelphia Eagles,Andy Reid,White,Lost Conference Championship,9,6,1
1972,Pittsburgh Steelers,Chuck Noll,White,Lost Conference Championship,11,3,0
1976,Pittsburgh Steelers,Chuck Noll,White,Lost Conference Championship,10,4,0
1984,Pittsburgh Steelers,Chuck Noll,White,Lost Conference Championship,9,7,0
1994,Pittsburgh Steelers,Bill Cowher,White,Lost Conference Championship,12,4,0
1997,Pittsburgh Steelers,Bill Cowher,White,Lost Conference Championship,11,5,0
2001,Pittsburgh Steelers,Bill Cowher,White,Lost Conference Championship,13,3,0
2004,Pittsburgh Steelers,Bill Cowher,White,Lost Conference Championship,15,1,0
2016,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Conference Championship,11,5,0
1970,Oakland Raiders,John Madden,White,Lost Conference Championship,8,4,2
1973,Oakland Raiders,John Madden,White,Lost Conference Championship,9,4,1
1974,Oakland Raiders,John Madden,White,Lost Conference Championship,12,2,0
1975,Oakland Raiders,John Madden,White,Lost Conference Championship,11,3,0
1977,Oakland Raiders,John Madden,White,Lost Conference Championship,11,3,0
1990,Oakland Raiders,Art Shell,Non-White,Lost Conference Championship,12,4,0
2000,Oakland Raiders,Jon Gruden,White,Lost Conference Championship,12,4,0
1985,Los Angeles Rams,John Robinson,White,Lost Conference Championship,11,5,0
1989,Los Angeles Rams,John Robinson,White,Lost Conference Championship,11,5,0
2008,Baltimore Ravens,John Harbaugh,White,Lost Conference Championship,11,5,0
2011,Baltimore Ravens,John Harbaugh,White,Lost Conference Championship,12,4,0
1980,Los Angeles Chargers,Don Coryell,White,Lost Conference Championship,11,5,0
1981,Los Angeles Chargers,Don Coryell,White,Lost Conference Championship,10,6,0
2007,Los Angeles Chargers,Norv Turner,White,Lost Conference Championship,11,5,0
1983,Seattle Seahawks,Chuck Knox,White,Lost Conference Championship,9,7,0
1970,San Francisco 49ers,Dick Nolan,White,Lost Conference Championship,10,3,1
1971,San Francisco 49ers,Dick Nolan,White,Lost Conference Championship,9,5,0
1983,San Francisco 49ers,Bill Walsh,White,Lost Conference Championship,10,6,0
1990,San Francisco 49ers,George Seifert,White,Lost Conference Championship,14,2,0
1992,San Francisco 49ers,George Seifert,White,Lost Conference Championship,14,2,0
1993,San Francisco 49ers,George Seifert,White,Lost Conference Championship,10,6,0
1997,San Francisco 49ers,Steve Mariucci,White,Lost Conference Championship,13,3,0
2011,San Francisco 49ers,Jim Harbaugh,White,Lost Conference Championship,13,3,0
2013,San Francisco 49ers,Jim Harbaugh,White,Lost Conference Championship,12,4,0
1979,Tampa Bay Buccaneers,John McKay,White,Lost Conference Championship,10,6,0
1999,Tampa Bay Buccaneers,Tony Dungy,Non-White,Lost Conference Championship,11,5,0
1986,Washington Redskins,Joe Gibbs,White,Lost Conference Championship,12,4,0
1978,Atlanta Falcons,Leeman Bennett,White,Lost Divisional Round,9,7,0
1980,Atlanta Falcons,Leeman Bennett,White,Lost Divisional Round,12,4,0
1991,Atlanta Falcons,Jerry Glanville,White,Lost Divisional Round,10,6,0
2002,Atlanta Falcons,Dan Reeves,White,Lost Divisional Round,9,6,1
2010,Atlanta Falcons,Mike Smith,White,Lost Divisional Round,13,3,0
2017,Atlanta Falcons,Dan Quinn,White,Lost Divisional Round,10,6,0
1974,Buffalo Bills,Lou Saban,White,Lost Divisional Round,9,5,0
1980,Buffalo Bills,Chuck Knox,White,Lost Divisional Round,11,5,0
1981,Buffalo Bills,Chuck Knox,White,Lost Divisional Round,10,6,0
1989,Buffalo Bills,Marv Levy,White,Lost Divisional Round,9,7,0
1995,Buffalo Bills,Marv Levy,White,Lost Divisional Round,10,6,0
2008,Carolina Panthers,John Fox,White,Lost Divisional Round,12,4,0
2013,Carolina Panthers,Ron Rivera,Non-White,Lost Divisional Round,12,4,0
2014,Carolina Panthers,Ron Rivera,Non-White,Lost Divisional Round,7,8,1
1977,Chicago Bears,Jack Pardee,White,Lost Divisional Round,9,5,0
1986,Chicago Bears,Mike Ditka,White,Lost Divisional Round,14,2,0
1987,Chicago Bears,Mike Ditka,White,Lost Divisional Round,11,4,0
1990,Chicago Bears,Mike Ditka,White,Lost Divisional Round,11,5,0
1994,Chicago Bears,Dave Wannstedt,White,Lost Divisional Round,9,7,0
2001,Chicago Bears,Dick Jauron,White,Lost Divisional Round,13,3,0
2005,Chicago Bears,Lovie Smith,Non-White,Lost Divisional Round,11,5,0
1970,Cincinnati Bengals,Paul Brown,White,Lost Divisional Round,8,6,0
1973,Cincinnati Bengals,Paul Brown,White,Lost Divisional Round,10,4,0
1975,Cincinnati Bengals,Paul Brown,White,Lost Divisional Round,11,3,0
1990,Cincinnati Bengals,Sam Wyche,White,Lost Divisional Round,9,7,0
1967,Cleveland Browns,Blanton Collier,White,Lost Divisional Round,9,5,0
1971,Cleveland Browns,Nick Skorich,White,Lost Divisional Round,9,5,0
1972,Cleveland Browns,Nick Skorich,White,Lost Divisional Round,10,4,0
1980,Cleveland Browns,Sam Rutigliano,White,Lost Divisional Round,11,5,0
1985,Cleveland Browns,Marty Schottenheimer,White,Lost Divisional Round,8,8,0
1994,Cleveland Browns,Bill Belichick,White,Lost Divisional Round,11,5,0
1975,Indianapolis Colts,Ted Marchibroda,White,Lost Divisional Round,10,4,0
1976,Indianapolis Colts,Ted Marchibroda,White,Lost Divisional Round,11,3,0
1977,Indianapolis Colts,Ted Marchibroda,White,Lost Divisional Round,10,4,0
1987,Indianapolis Colts,Ron Meyer,White,Lost Divisional Round,9,6,0
1999,Indianapolis Colts,Jim Mora,White,Lost Divisional Round,13,3,0
2004,Indianapolis Colts,Tony Dungy,Non-White,Lost Divisional Round,12,4,0
2005,Indianapolis Colts,Tony Dungy,Non-White,Lost Divisional Round,14,2,0
2007,Indianapolis Colts,Tony Dungy,Non-White,Lost Divisional Round,13,3,0
2013,Indianapolis Colts,Chuck Pagano,White,Lost Divisional Round,11,5,0
2018,Indianapolis Colts,Frank Reich,White,Lost Divisional Round,10,6,0
1974,Arizona Cardinals,Don Coryell,White,Lost Divisional Round,10,4,0
1975,Arizona Cardinals,Don Coryell,White,Lost Divisional Round,11,3,0
1998,Arizona Cardinals,Vince Tobin,White,Lost Divisional Round,9,7,0
2009,Arizona Cardinals,Ken Whisenhunt,White,Lost Divisional Round,10,6,0
1968,Dallas Cowboys,Tom Landry,White,Lost Divisional Round,12,2,0
1969,Dallas Cowboys,Tom Landry,White,Lost Divisional Round,11,2,1
1976,Dallas Cowboys,Tom Landry,White,Lost Divisional Round,11,3,0
1979,Dallas Cowboys,Tom Landry,White,Lost Divisional Round,11,5,0
1985,Dallas Cowboys,Tom Landry,White,Lost Divisional Round,10,6,0
1991,Dallas Cowboys,Jimmy Johnson,White,Lost Divisional Round,11,5,0
1996,Dallas Cowboys,Barry Switzer,White,Lost Divisional Round,10,6,0
2007,Dallas Cowboys,Wade Phillips,White,Lost Divisional Round,13,3,0
2009,Dallas Cowboys,Wade Phillips,White,Lost Divisional Round,11,5,0
2014,Dallas Cowboys,Jason Garrett,White,Lost Divisional Round,12,4,0
2016,Dallas Cowboys,Jason Garrett,White,Lost Divisional Round,13,3,0
2018,Dallas Cowboys,Jason Garrett,White,Lost Divisional Round,10,6,0
1978,Denver Broncos,Red Miller,White,Lost Divisional Round,10,6,0
1984,Denver Broncos,Dan Reeves,White,Lost Divisional Round,13,3,0
1996,Denver Broncos,Mike Shanahan,White,Lost Divisional Round,13,3,0
2011,Denver Broncos,John Fox,White,Lost Divisional Round,8,8,0
2012,Denver Broncos,John Fox,White,Lost Divisional Round,13,3,0
2014,Denver Broncos,John Fox,White,Lost Divisional Round,12,4,0
1970,Detroit Lions,Joe Schmidt,White,Lost Divisional Round,10,4,0
1983,Detroit Lions,Monte Clark,White,Lost Divisional Round,9,7,0
1972,Green Bay Packers,Dan Devine,White,Lost Divisional Round,10,4,0
1982,Green Bay Packers,Bart Starr,White,Lost Divisional Round,5,3,1
1993,Green Bay Packers,Mike Holmgren,White,Lost Divisional Round,9,7,0
1994,Green Bay Packers,Mike Holmgren,White,Lost Divisional Round,9,7,0
2001,Green Bay Packers,Mike Sherman,White,Lost Divisional Round,12,4,0
2003,Green Bay Packers,Mike Sherman,White,Lost Divisional Round,10,6,0
2011,Green Bay Packers,Mike McCarthy,White,Lost Divisional Round,15,1,0
2012,Green Bay Packers,Mike McCarthy,White,Lost Divisional Round,11,5,0
2015,Green Bay Packers,Mike McCarthy,White,Lost Divisional Round,10,6,0
2011,Houston Texans,Gary Kubiak,White,Lost Divisional Round,10,6,0
2012,Houston Texans,Gary Kubiak,White,Lost Divisional Round,12,4,0
2016,Houston Texans,Bill O'Brien,White,Lost Divisional Round,9,7,0
2019,Houston Texans,Bill O'Brien,White,Lost Divisional Round,10,6,0
1998,Jacksonville Jaguars,Tom Coughlin,White,Lost Divisional Round,11,5,0
2007,Jacksonville Jaguars,Jack Del Rio,White,Lost Divisional Round,11,5,0
1968,Kansas City Chiefs,Hank Stram,White,Lost Divisional Round,12,2,0
1971,Kansas City Chiefs,Hank Stram,White,Lost Divisional Round,10,3,1
1991,Kansas City Chiefs,Marty Schottenheimer,White,Lost Divisional Round,10,6,0
1995,Kansas City Chiefs,Marty Schottenheimer,White,Lost Divisional Round,13,3,0
1997,Kansas City Chiefs,Marty Schottenheimer,White,Lost Divisional Round,13,3,0
2003,Kansas City Chiefs,Dick Vermeil,White,Lost Divisional Round,13,3,0
2015,Kansas City Chiefs,Andy Reid,White,Lost Divisional Round,11,5,0
2016,Kansas City Chiefs,Andy Reid,White,Lost Divisional Round,12,4,0
1970,Miami Dolphins,Don Shula,White,Lost Divisional Round,10,4,0
1974,Miami Dolphins,Don Shula,White,Lost Divisional Round,11,3,0
1979,Miami Dolphins,Don Shula,White,Lost Divisional Round,10,6,0
1981,Miami Dolphins,Don Shula,White,Lost Divisional Round,11,4,1
1983,Miami Dolphins,Don Shula,White,Lost Divisional Round,12,4,0
1990,Miami Dolphins,Don Shula,White,Lost Divisional Round,12,4,0
1994,Miami Dolphins,Don Shula,White,Lost Divisional Round,10,6,0
1998,Miami Dolphins,Jimmy Johnson,White,Lost Divisional Round,10,6,0
1999,Miami Dolphins,Jimmy Johnson,White,Lost Divisional Round,9,7,0
2000,Miami Dolphins,Dave Wannstedt,White,Lost Divisional Round,11,5,0
1968,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,8,6,0
1970,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,12,2,0
1971,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,11,3,0
1975,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,12,2,0
1978,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,8,7,1
1980,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,9,7,0
1982,Minnesota Vikings,Bud Grant,White,Lost Divisional Round,5,4,0
1988,Minnesota Vikings,Jerry Burns,White,Lost Divisional Round,11,5,0
1989,Minnesota Vikings,Jerry Burns,White,Lost Divisional Round,10,6,0
1997,Minnesota Vikings,Dennis Green,Non-White,Lost Divisional Round,9,7,0
1999,Minnesota Vikings,Dennis Green,Non-White,Lost Divisional Round,10,6,0
2004,Minnesota Vikings,Mike Tice,White,Lost Divisional Round,8,8,0
2019,Minnesota Vikings,Mike Zimmer,White,Lost Divisional Round,10,6,0
2000,New Orleans Saints,Jim Haslett,White,Lost Divisional Round,10,6,0
2011,New Orleans Saints,Sean Payton,White,Lost Divisional Round,13,3,0
2013,New Orleans Saints,Sean Payton,White,Lost Divisional Round,11,5,0
2017,New Orleans Saints,Sean Payton,White,Lost Divisional Round,11,5,0
1976,New England Patriots,Chuck Fairbanks,White,Lost Divisional Round,11,3,0
1978,New England Patriots,Hank Bullough,White,Lost Divisional Round,11,5,0
1986,New England Patriots,Raymond Berry,White,Lost Divisional Round,11,5,0
1997,New England Patriots,Pete Carroll,White,Lost Divisional Round,10,6,0
2005,New England Patriots,Bill Belichick,White,Lost Divisional Round,10,6,0
2010,New England Patriots,Bill Belichick,White,Lost Divisional Round,14,2,0
1981,New York Giants,Ray Perkins,White,Lost Divisional Round,9,7,0
1984,New York Giants,Bill Parcells,White,Lost Divisional Round,9,7,0
1985,New York Giants,Bill Parcells,White,Lost Divisional Round,10,6,0
1989,New York Giants,Bill Parcells,White,Lost Divisional Round,12,4,0
1993,New York Giants,Dan Reeves,White,Lost Divisional Round,11,5,0
2008,New York Giants,Tom Coughlin,White,Lost Divisional Round,12,4,0
1969,New York Jets,Weeb Ewbank,White,Lost Divisional Round,10,4,0
1986,New York Jets,Joe Walton,White,Lost Divisional Round,10,6,0
2002,New York Jets,Herm Edwards,Non-White,Lost Divisional Round,9,7,0
2004,New York Jets,Herm Edwards,Non-White,Lost Divisional Round,10,6,0
1987,Tennessee Titans,Jerry Glanville,White,Lost Divisional Round,9,6,0
1988,Tennessee Titans,Jerry Glanville,White,Lost Divisional Round,10,6,0
1991,Tennessee Titans,Jack Pardee,White,Lost Divisional Round,11,5,0
1993,Tennessee Titans,Jack Pardee,White,Lost Divisional Round,12,4,0
2000,Tennessee Titans,Jeff Fisher,White,Lost Divisional Round,13,3,0
2003,Tennessee Titans,Jeff Fisher,White,Lost Divisional Round,12,4,0
2008,Tennessee Titans,Jeff Fisher,White,Lost Divisional Round,13,3,0
2017,Tennessee Titans,Mike Mularkey,White,Lost Divisional Round,9,7,0
1979,Philadelphia Eagles,Dick Vermeil,White,Lost Divisional Round,11,5,0
1988,Philadelphia Eagles,Buddy Ryan,White,Lost Divisional Round,10,6,0
1992,Philadelphia Eagles,Rich Kotite,White,Lost Divisional Round,11,5,0
1995,Philadelphia Eagles,Ray Rhodes,Non-White,Lost Divisional Round,10,6,0
2000,Philadelphia Eagles,Andy Reid,White,Lost Divisional Round,11,5,0
2006,Philadelphia Eagles,Andy Reid,White,Lost Divisional Round,10,6,0
2018,Philadelphia Eagles,Doug Pederson,White,Lost Divisional Round,9,7,0
1973,Pittsburgh Steelers,Chuck Noll,White,Lost Divisional Round,10,4,0
1977,Pittsburgh Steelers,Chuck Noll,White,Lost Divisional Round,9,5,0
1983,Pittsburgh Steelers,Chuck Noll,White,Lost Divisional Round,10,6,0
1989,Pittsburgh Steelers,Chuck Noll,White,Lost Divisional Round,9,7,0
1992,Pittsburgh Steelers,Bill Cowher,White,Lost Divisional Round,11,5,0
1996,Pittsburgh Steelers,Bill Cowher,White,Lost Divisional Round,10,6,0
2002,Pittsburgh Steelers,Bill Cowher,White,Lost Divisional Round,10,5,1
2015,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Divisional Round,10,6,0
2017,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Divisional Round,13,3,0
1972,Oakland Raiders,John Madden,White,Lost Divisional Round,10,3,1
1982,Oakland Raiders,Tom Flores,Non-White,Lost Divisional Round,8,1,0
1985,Oakland Raiders,Tom Flores,Non-White,Lost Divisional Round,12,4,0
1993,Oakland Raiders,Art Shell,Non-White,Lost Divisional Round,10,6,0
2001,Oakland Raiders,Jon Gruden,White,Lost Divisional Round,10,6,0
1967,Los Angeles Rams,George Allen,White,Lost Divisional Round,11,1,2
1969,Los Angeles Rams,George Allen,White,Lost Divisional Round,11,3,0
1983,Los Angeles Rams,John Robinson,White,Lost Divisional Round,9,7,0
2003,Los Angeles Rams,Mike Martz,White,Lost Divisional Round,12,4,0
2004,Los Angeles Rams,Mike Martz,White,Lost Divisional Round,8,8,0
2001,Baltimore Ravens,Brian Billick,White,Lost Divisional Round,10,6,0
2006,Baltimore Ravens,Brian Billick,White,Lost Divisional Round,13,3,0
2009,Baltimore Ravens,John Harbaugh,White,Lost Divisional Round,9,7,0
2010,Baltimore Ravens,John Harbaugh,White,Lost Divisional Round,12,4,0
2014,Baltimore Ravens,John Harbaugh,White,Lost Divisional Round,10,6,0
2019,Baltimore Ravens,John Harbaugh,White,Lost Divisional Round,14,2,0
1979,Los Angeles Chargers,Don Coryell,White,Lost Divisional Round,12,4,0
1982,Los Angeles Chargers,Don Coryell,White,Lost Divisional Round,6,3,0
1992,Los Angeles Chargers,Bobby Ross,White,Lost Divisional Round,11,5,0
2006,Los Angeles Chargers,Marty Schottenheimer,White,Lost Divisional Round,14,2,0
2008,Los Angeles Chargers,Norv Turner,White,Lost Divisional Round,8,8,0
2009,Los Angeles Chargers,Norv Turner,White,Lost Divisional Round,13,3,0
2013,Los Angeles Chargers,Mike McCoy,White,Lost Divisional Round,9,7,0
2018,Los Angeles Chargers,Anthony Lynn,Non-White,Lost Divisional Round,12,4,0
1984,Seattle Seahawks,Chuck Knox,White,Lost Divisional Round,12,4,0
1988,Seattle Seahawks,Chuck Knox,White,Lost Divisional Round,9,7,0
2006,Seattle Seahawks,Mike Holmgren,White,Lost Divisional Round,9,7,0
2007,Seattle Seahawks,Mike Holmgren,White,Lost Divisional Round,10,6,0
2010,Seattle Seahawks,Pete Carroll,White,Lost Divisional Round,7,9,0
2012,Seattle Seahawks,Pete Carroll,White,Lost Divisional Round,11,5,0
2015,Seattle Seahawks,Pete Carroll,White,Lost Divisional Round,10,6,0
2016,Seattle Seahawks,Pete Carroll,White,Lost Divisional Round,10,5,1
2019,Seattle Seahawks,Pete Carroll,White,Lost Divisional Round,11,5,0
